,freq,conf_low,conf_area
0,3.0,3.0,0.0
1,13.0,13.0,0.0
2,29.0,29.0,0.0
3,25.0,25.0,0.0
4,24.0,24.0,0.0
5,10.0,10.0,0.0
6,13.0,13.0,0.0
7,5.0,5.0,0.0
8,11.0,11.0,0.0
9,8.0,8.0,0.0
10,8.0,8.0,0.0
11,12.0,12.0,0.0
12,10.0,10.0,0.0
13,5.0,5.0,0.0
14,4.0,4.0,0.0
15,5.0,5.0,0.0
16,5.0,5.0,0.0
17,10.0,10.0,0.0
18,8.0,8.0,0.0
19,13.0,13.0,0.0
20,11.0,11.0,0.0
21,9.0,9.0,0.0
22,7.0,7.0,0.0
23,9.0,9.0,0.0
24,5.0,5.0,0.0
25,6.0,6.0,0.0
26,2.0,2.0,0.0
27,5.0,5.0,0.0
28,4.0,4.0,0.0
29,3.0,3.0,0.0
30,2.0,2.0,0.0
31,4.0,4.0,0.0
32,7.0,7.0,0.0
33,6.0,6.0,0.0
34,1.0,1.0,0.0
35,3.0,3.0,0.0
36,1.0,1.0,0.0
37,2.0,2.0,0.0
38,2.0,2.0,0.0
39,2.0,2.0,0.0
40,1.0,1.0,0.0
41,2.0,2.0,0.0
42,4.0,4.0,0.0
43,3.0,3.0,0.0
44,4.0,4.0,0.0
45,6.0,6.0,0.0
46,16.0,16.0,0.0
47,27.0,27.0,0.0
48,15.0,15.0,0.0
49,11.0,11.0,0.0
50,6.0,6.0,0.0
51,11.0,11.0,0.0
52,5.0,5.0,0.0
53,3.0,3.0,0.0
54,8.0,8.0,0.0
55,5.0,5.0,0.0
56,4.0,4.0,0.0
57,1.0,1.0,0.0
58,4.0,4.0,0.0
59,1.0,1.0,0.0
60,1.0,1.0,0.0
61,1.0,1.0,0.0
62,1.0,1.0,0.0
63,2.0,2.0,0.0
64,1.0,1.0,0.0
65,2.0,2.0,0.0
66,3.0,3.0,0.0
67,5.0,5.0,0.0
68,5.0,5.0,0.0
69,5.0,5.0,0.0
70,4.0,4.0,0.0
71,6.0,6.0,0.0
72,9.0,9.0,0.0
73,6.0,6.0,0.0
74,70.0,70.0,0.0
75,27.0,27.0,0.0
76,13.0,13.0,0.0
77,12.603852012230279,3.5995466667867286,47.73207230174704
78,10.44402014150906,2.5185374536455036,45.82841817761911
79,9.373302685977533,1.95807152206949,46.828139981108954
80,8.463216527263011,1.630804613089574,45.551476294071406
81,7.8110589893662645,1.4253640954100804,44.2303166909124
82,7.304911840210883,1.2866954114146418,42.75862149420469
83,6.915619709124607,1.189714144922929,41.38911512315618
84,6.6106155337452455,1.1194785478105143,40.1557225387858
85,6.3701506186756305,1.067418225074175,39.083275507062865
86,6.179000631905363,1.028059146614463,38.16604769019088
