,freq,conf_low,conf_area
0,2.0,2.0,0.0
1,13.0,13.0,0.0
2,23.0,23.0,0.0
3,18.0,18.0,0.0
4,13.0,13.0,0.0
5,9.0,9.0,0.0
6,12.0,12.0,0.0
7,5.0,5.0,0.0
8,11.0,11.0,0.0
9,4.0,4.0,0.0
10,7.0,7.0,0.0
11,4.0,4.0,0.0
12,8.0,8.0,0.0
13,7.0,7.0,0.0
14,5.0,5.0,0.0
15,3.0,3.0,0.0
16,3.0,3.0,0.0
17,8.0,8.0,0.0
18,7.0,7.0,0.0
19,5.0,5.0,0.0
20,11.0,11.0,0.0
21,10.0,10.0,0.0
22,5.0,5.0,0.0
23,8.0,8.0,0.0
24,7.0,7.0,0.0
25,7.0,7.0,0.0
26,1.0,1.0,0.0
27,4.0,4.0,0.0
28,4.0,4.0,0.0
29,2.0,2.0,0.0
30,4.0,4.0,0.0
31,4.0,4.0,0.0
32,7.0,7.0,0.0
33,4.0,4.0,0.0
34,5.0,5.0,0.0
35,2.0,2.0,0.0
36,3.0,3.0,0.0
37,1.0,1.0,0.0
38,1.0,1.0,0.0
39,4.0,4.0,0.0
40,1.0,1.0,0.0
41,2.0,2.0,0.0
42,6.0,6.0,0.0
43,2.0,2.0,0.0
44,4.0,4.0,0.0
45,3.0,3.0,0.0
46,14.0,14.0,0.0
47,24.0,24.0,0.0
48,7.0,7.0,0.0
49,3.0,3.0,0.0
50,3.0,3.0,0.0
51,5.0,5.0,0.0
52,5.0,5.0,0.0
53,4.0,4.0,0.0
54,3.0,3.0,0.0
55,5.0,5.0,0.0
56,3.0,3.0,0.0
57,1.0,1.0,0.0
58,1.0,1.0,0.0
59,1.0,1.0,0.0
60,1.0,1.0,0.0
61,1.0,1.0,0.0
62,1.0,1.0,0.0
63,1.0,1.0,0.0
64,2.0,2.0,0.0
65,4.0,4.0,0.0
66,2.0,2.0,0.0
67,3.0,3.0,0.0
68,5.0,5.0,0.0
69,4.0,4.0,0.0
70,2.0,2.0,0.0
71,2.0,2.0,0.0
72,4.0,4.0,0.0
73,7.0,7.0,0.0
74,50.0,50.0,0.0
75,10.0,10.0,0.0
76,3.0,3.0,0.0
77,3.2115020199623525,0.8182866167302552,13.422360804616128
78,3.3344423339387834,0.6772086302719503,17.095348006165903
79,3.4042365732212887,0.637021408548865,18.82923047865967
80,3.443345883657612,0.6213429572834916,19.703607808789897
81,3.465103635959887,0.6132037163418946,20.193879579773714
82,3.477160179470966,0.6076978046829702,20.503512501604792
83,3.4838264060432134,0.6032212874703654,20.72360940961573
84,3.487507802031809,0.5991974330520584,20.897533170708726
85,3.4895394833681093,0.5953985089090655,21.047055044455963
86,3.4906603115758346,0.5917260470989854,21.18353448708205
