,CosineDist,Freq,Labels,Sizes,Xcoords,Ycoords
0,0.0,46226,#biden,10.741,2.367,-111.889
1,0.168,18206,#joebiden,9.81,-106.119,-44.001
2,0.266,6,#lyingdogfacedponysoldier,1.792,0.277,-57.924
3,0.277,14610,#usa,9.589,6.896,49.907
4,0.324,98487,#trump,11.498,58.011,-89.598
5,0.361,8041,investiture,8.992,127.346,-121.903
6,0.368,78,#thaipbs,4.357,165.398,61.021
7,0.415,3164,#washington,8.06,-33.458,17.574
8,0.42,15846,#washingtondc,9.671,-147.984,9.39
9,0.421,5006,#kamalaharris,8.518,110.618,-3.759
10,0.421,1370,#president,7.223,-115.362,-102.869
11,0.427,13388,#bidenharrisinauguration,9.502,45.475,86.225
12,0.437,10,#kurginyan,2.303,-52.532,-88.303
13,0.44,11071,#bidenharris,9.312,-45.537,67.517
14,0.443,11331,#covid,9.335,-67.936,-143.572
15,0.453,459420,biden,13.038,-88.229,13.765
16,0.453,5196,#americaortrump,8.556,-183.929,79.939
17,0.461,9,#usindiarelation,2.197,58.806,-154.938
18,0.463,911,#harris,6.815,93.453,58.508
19,0.463,506,bouclant,6.227,-49.5,-32.943
20,0.464,330,#nevertrumper,5.799,122.291,131.252
21,0.469,15857,pour,9.671,-180.481,-53.852
22,0.469,20422,#donaldtrump,9.924,186.129,-4.371
23,0.472,19176,administration,9.861,117.091,-64.056
24,0.472,1020,#obama,6.928,-12.806,-179.744
25,0.475,8,prava,2.079,-73.708,125.175
26,0.475,1713,#china,7.446,53.025,22.741
27,0.476,1702,#politics,7.44,-106.014,70.942
28,0.477,12,#trumpwinner,2.485,-9.473,111.078
29,0.479,2418,#etatsunis,7.791,10.174,-6.38
30,0.48,2135,#democrats,7.666,-29.68,188.471
31,0.485,1750,#whitehouse,7.467,42.867,146.266
